threshold,precision,recall,f1,accuracy,TN,FP,FN,TP,FPR,FNR
0.33,0.8115942028985508,0.7887323943661971,0.8,0.9993420898047417,42475,13,15,56,0.0003059687441159857,0.2112676056338028
0.34,0.8115942028985508,0.7887323943661971,0.8,0.9993420898047417,42475,13,15,56,0.0003059687441159857,0.2112676056338028
0.35,0.835820895522388,0.7887323943661971,0.8115942028985508,0.9993890833901172,42477,11,15,56,0.00025889662963660327,0.2112676056338028
0.36,0.835820895522388,0.7887323943661971,0.8115942028985508,0.9993890833901172,42477,11,15,56,0.00025889662963660327,0.2112676056338028
0.37,0.8484848484848485,0.7887323943661971,0.8175182481751825,0.9994125801828051,42478,10,15,56,0.00023536057239691206,0.2112676056338028
0.38,0.875,0.7887323943661971,0.8296296296296296,0.9994595737681806,42480,8,15,56,0.00018828845791752966,0.2112676056338028
0.39,0.875,0.7887323943661971,0.8296296296296296,0.9994595737681806,42480,8,15,56,0.00018828845791752966,0.2112676056338028
0.4,0.8888888888888888,0.7887323943661971,0.835820895522388,0.9994830705608685,42481,7,15,56,0.00016475240067783845,0.2112676056338028
0.41,0.9032258064516129,0.7887323943661971,0.8421052631578947,0.9995065673535563,42482,6,15,56,0.00014121634343814725,0.2112676056338028
0.42,0.9032258064516129,0.7887323943661971,0.8421052631578947,0.9995065673535563,42482,6,15,56,0.00014121634343814725,0.2112676056338028
0.43,0.9016393442622951,0.7746478873239436,0.8333333333333334,0.9994830705608685,42482,6,16,55,0.00014121634343814725,0.22535211267605634
0.44,0.9016393442622951,0.7746478873239436,0.8333333333333334,0.9994830705608685,42482,6,16,55,0.00014121634343814725,0.22535211267605634
0.45,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.46,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.47,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.48,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.49,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.5,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.51,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.52,0.9166666666666666,0.7746478873239436,0.8396946564885496,0.9995065673535563,42483,5,16,55,0.00011768028619845603,0.22535211267605634
0.53,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.54,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.55,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.56,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.57,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.58,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.59,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.6,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.61,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.62,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.63,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.64,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.65,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.66,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
0.67,0.9322033898305084,0.7746478873239436,0.8461538461538461,0.999530064146244,42484,4,16,55,9.414422895876483e-05,0.22535211267605634
